ecg;frecuencia;tiempo
1023.0;0;1.437309980392456
1023.0;0;1.4408509731292725
1023.0;0;1.4408509731292725
1023.0;0;1.4565083980560303
1023.0;0;1.472158670425415
1023.0;0;1.4784011840820312
1023.0;0;1.4879438877105713
1023.0;0;1.4900476932525635
1023.0;0;1.4988117218017578
1023.0;0;1.503852367401123
1023.0;0;1.5120306015014648
1023.0;0;1.519563913345337
1023.0;0;1.5259811878204346
1023.0;0;1.5373685359954834
1023.0;0;1.5373685359954834
1023.0;0;1.5463604927062988
1023.0;0;1.553415298461914
1023.0;0;1.553415298461914
1023.0;0;1.5686156749725342
1023.0;0;1.5686156749725342
1023.0;0;1.586421251296997
1023.0;0;1.5869417190551758
1023.0;0;1.6014301776885986
1023.0;0;1.6060576438903809
1023.0;0;1.6163475513458252
1023.0;0;1.6325669288635254
1023.0;0;1.6374766826629639
1023.0;0;1.648615837097168
1023.0;0;1.6517679691314697
1023.0;0;1.6623477935791016
1023.0;0;1.6649870872497559
1023.0;0;1.6649870872497559
1023.0;0;1.6780140399932861
1023.0;0;1.6780140399932861
1023.0;0;1.696908712387085
1023.0;0;1.696908712387085
1023.0;0;1.711550235748291
1023.0;0;1.7157971858978271
1023.0;0;1.7257392406463623
1023.0;0;1.7257392406463623
1023.0;0;1.7417924404144287
1023.0;0;1.7417924404144287
1023.0;0;1.7417924404144287
1023.0;0;1.7574448585510254
1023.0;0;1.7574448585510254
1023.0;0;1.7745471000671387
1023.0;0;1.7745471000671387
1023.0;0;1.7890942096710205
1023.0;0;1.7985715866088867
1023.0;0;1.8061833381652832
1023.0;0;1.811859130859375
1023.0;0;1.8208649158477783
1023.0;0;1.8208649158477783
1023.0;0;1.8323369026184082
1023.0;0;1.838444709777832
1023.0;0;1.8455190658569336
1023.0;0;1.8545281887054443
1023.0;0;1.8619136810302734
1023.0;0;1.8685059547424316
1023.0;0;1.8685059547424316
1023.0;0;1.88472580909729
1023.0;0;1.8919141292572021
1023.0;0;1.9007432460784912
1023.0;0;1.9033825397491455
1023.0;0;1.9104957580566406
1023.0;0;1.9179925918579102
1023.0;0;1.9247891902923584
1023.0;0;1.9313151836395264
1023.0;0;1.9378390312194824
1023.0;0;1.9473662376403809
1023.0;0;1.9473662376403809
1023.0;0;1.9630305767059326
1023.0;0;1.9630305767059326
1023.0;0;1.9786570072174072
1023.0;0;1.9786570072174072
1023.0;0;1.9979405403137207
1023.0;0;2.0026533603668213
1023.0;0;2.010688543319702
1023.0;0;2.02036452293396
1023.0;0;2.0276856422424316
1023.0;0;2.039062261581421
1023.0;0;2.0453391075134277
1023.0;0;2.0516750812530518
1023.0;0;2.061790943145752
1023.0;0;2.068080186843872
1023.0;0;2.074795961380005
1023.0;0;2.074795961380005
